http://www.tri-cityherald.com/news/local/article153344574.html,data/2017-05-30T18:36:08Z,Autocode-Test:Breach:Misuse:PHIDBR2018:,Robert-Topper,2017-05-30T18_36_08Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newarkadvertiser.co.uk/news/2017/05/26/memory-stick-led-to-stolen-computer,data/2017-05-30T18:52:36Z,Autocode-Test:Breach:Physical:,swidup,2017-05-30T18_52_36Z,,Breach,,Breach:Error,,Breach:Error:PHIDBR2018:,,Breach:Hacking,,Breach:Hacking:Malware,,Breach:Malware,,Breach:Misuse,,Outage,,Malware,,Hacking,,DOS,,Breach:Physical,,Breach:pinboardimport:,,Breach:Social
http://www.databreaches.net/ny-insurer-wont-have-to-cover-five-guys-data-breach/,data/2016-02-19T18:05:22Z,BadURL:Breach:Hacking:,dhylender,2016-02-19T18_05_22Z,,2017-04-03T22_33_31Z,,2017-07-07T16_37_05Z,,2016-09-23T22_45_18Z,,2017-07-11T22_52_00Z,,2017-06-01T21_38_34Z,,2017-07-12T21_23_50Z,,2017-07-12T21_30_06Z,,2014-12-20T00_31_17Z,,Malware,,2017-02-02T23_12_32Z,,2017-06-30T04_55_37Z,,2017-07-12T18_14_05Z,,2014-06-19T23_14_59Z,,2017-06-15T21_27_35Z
http://www.stuff.co.nz/manawatu-standard/news/71942067/more-than-one-midcentral-nurse-sacked-for-snooping,data/2015-09-11T00:03:30Z,BadURL:Breach:Misuse:,swidup,2015-09-11T00_03_30Z,,2017-01-29T06_51_26Z,,2017-07-06T04_30_54Z,,2017-07-12T20_48_23Z,,2017-07-11T15_45_43Z,,2017-04-28T22_41_34Z,,2017-07-12T18_06_37Z,,2017-07-03T22_47_55Z,,2014-12-20T00_30_58Z,,2017-06-30T21_44_18Z,,2016-05-20T22_45_49Z,,2017-02-17T00_02_53Z,,2017-07-11T21_49_43Z,,2014-06-19T23_14_58Z,,2017-06-08T22_48_13Z
http://spaceq.ca/is-the-data-breach-by-orbital-atk-of-ssl-data-on-a-nasa-server-corporate-espionage/,data/2017-04-03T22:33:31Z,Breach:,Robert-Topper,2017-04-03T22_33_31Z,,2017-01-23T18_35_41Z,,2017-07-06T04_29_18Z,,2017-07-06T04_28_28Z,,2017-07-11T22_52_00Z,,2017-02-28T17_21_47Z,,2017-07-10T22_42_23Z,,2017-06-30T22_08_12Z,,2014-11-19T16_43_51Z,,2017-06-30T18_12_37Z,,2016-04-29T23_31_09Z,,2017-01-30T18_04_55Z,,2017-07-10T23_26_22Z,,2014-06-19T23_14_58Z,,2017-06-02T01_10_46Z
http://globalnews.ca/news/3206136/grey-eagle-casino-employee-information-leaked-in-major-privacy-breach/,data/2017-01-29T06:51:26Z,Breach:,Robert-Topper,2017-01-29T06_51_26Z,,2017-01-05T00_18_16Z,,2017-07-07T16_37_05Z,,2017-07-12T20_48_23Z,,2017-07-11T15_45_43Z,,2017-02-10T22_45_05Z,,2017-07-07T16_37_50Z,,2017-06-30T18_18_57Z,,2014-11-14T15_30_36Z,,2017-06-28T16_20_19Z,,2016-01-23T06_48_41Z,,2016-11-10T17_47_24Z,,2017-07-12T18_14_05Z,,2014-06-19T23_14_58Z,,2017-06-01T23_02_23Z
http://news.mezo.me/news/college-may-never-know-if-any-information-stolen?uid=48014,data/2017-01-23T18:35:41Z,Breach:,Robert-Topper,2017-01-23T18_35_41Z,,2016-12-19T22_10_37Z,,2017-07-06T04_30_54Z,,2017-07-06T04_28_28Z,,2017-07-06T04_22_13Z,,2017-02-10T22_27_37Z,,2017-07-12T21_23_50Z,,2017-06-30T04_15_05Z,,2014-11-14T15_29_33Z,,2017-04-03T23_42_49Z,,2015-12-09T00_36_28Z,,2016-11-09T17_00_32Z,,2017-07-11T21_49_43Z,,2014-06-19T23_14_57Z,,2017-04-21T22_10_36Z
https://www.bleepingcomputer.com/news/security/attacks-on-phones-of-bitcoin-moguls-continue-with-recent-keepkey-security-breach/,data/2017-01-05T00:18:16Z,Breach:,Robert-Topper,2017-01-05T00_18_16Z,,2016-12-07T21_58_43Z,,2017-07-06T04_29_18Z,,2017-07-05T00_32_19Z,,2017-07-06T00_05_41Z,,2017-02-09T19_23_35Z,,2017-07-12T18_06_37Z,,2017-06-23T18_07_16Z,,2014-11-07T15_50_45Z,,2017-03-15T22_26_30Z,,2015-12-02T16_47_11Z,,2016-10-21T21_42_44Z,,2017-07-10T23_26_22Z,,2014-06-19T23_14_57Z,,2017-04-07T21_59_03Z
http://www.cbc.ca/news/canada/ottawa/smiths-falls-hacked-family-services-charges-dropped-man-1.3903151,data/2016-12-19T22:10:37Z,Breach:,Spitler,2016-12-19T22_10_37Z,,2016-12-03T00_57_47Z,,2017-06-30T04_52_41Z,,2017-06-30T04_37_18Z,,2017-07-02T23_32_35Z,,2017-01-29T06_26_06Z,,2017-07-10T22_42_23Z,,2017-06-20T00_03_16Z,,2014-10-31T16_46_38Z,,2017-02-04T00_50_24Z,,2015-12-02T16_45_04Z,,2016-09-22T02_41_15Z,,2017-07-06T00_06_41Z,,2014-06-19T23_14_56Z,,2017-03-23T22_40_58Z
http://www.japantimes.co.jp/news/2016/12/06/world/naked-selfies-used-collateral-loans-china-leak-online/,data/2016-12-07T21:58:43Z,Breach:,kjessen,2016-12-07T21_58_43Z,,2016-11-08T22_27_47Z,,2017-06-30T04_51_54Z,,2017-06-30T03_54_38Z,,2017-06-30T04_38_20Z,,2017-01-17T04_25_57Z,,2017-07-07T16_37_50Z,,2017-06-18T07_01_06Z,,2014-10-31T16_46_15Z,,2017-01-04T23_19_26Z,,2015-07-08T17_03_38Z,,2016-07-02T03_59_27Z,,2017-07-02T23_30_24Z,,2014-06-19T23_14_55Z,,2017-03-23T15_44_23Z
https://translate.googleusercontent.com/translate_c?depth=1&hl=en&ie=UTF8&prev=_t&rurl=translate.google.com&sl=auto&tl=en&u=http://www.com-magazin.de/news/datenschutz/datenpanne-mitfahrgelegenheit.de-blablacar-1174670.html&usg=ALkJrhimopzd1IIFRftpDO5CAcSnKVGOpQ,data/2016-12-03T00:57:47Z,Breach:,kjessen,2016-12-03T00_57_47Z,,2016-10-13T22_05_32Z,,2017-06-30T04_50_41Z,,2017-06-30T03_51_27Z,,2017-06-26T23_48_14Z,,2016-11-29T18_48_36Z,,2017-06-30T04_45_35Z,,2017-06-17T03_31_50Z,,2014-10-27T20_44_29Z,,2016-08-01T17_17_01Z,,2015-05-22T04_00_19Z,,2016-06-01T18_31_47Z,,2017-06-30T22_08_38Z,,2014-06-19T23_14_55Z,,2017-03-17T22_04_57Z
http://www.theregister.co.uk/2016/11/07/tesco_bank_breach/,data/2016-11-08T22:27:47Z,Breach:,Robert-Topper,2016-11-08T22_27_47Z,,2016-09-29T00_09_48Z,,2017-06-30T04_48_45Z,,2017-06-30T03_50_00Z,,2017-06-21T18_03_35Z,,2016-07-08T21_41_23Z,,2017-06-26T23_49_18Z,,2017-06-14T18_04_41Z,,2014-10-17T15_08_31Z,,2016-06-26T19_39_34Z,,2015-03-01T05_22_10Z,,2016-05-16T16_20_52Z,,2017-06-30T03_57_50Z,,2014-06-19T23_14_55Z,,2017-03-16T00_07_57Z
http://www.vermontbiz.com/news/october/attorney-general-enters-data-security-settlement-after-college-breach,data/2016-10-13T22:05:32Z,Breach:,Robert-Topper,2016-10-13T22_05_32Z,,2016-09-08T21_04_01Z,,2017-06-30T04_46_29Z,,2017-06-30T03_48_15Z,,2017-06-17T03_34_44Z,,2016-04-29T00_05_17Z,,2017-06-21T23_23_05Z,,2017-06-14T17_44_23Z,,2014-10-14T23_26_25Z,,2016-06-25T04_19_05Z,,2015-01-07T00_30_46Z,,2016-04-07T15_52_35Z,,2017-06-21T22_17_28Z,,2014-06-19T23_14_54Z,,2017-03-11T01_08_23Z
http://massivelyop.com/2016/09/26/mmo-publisher-gpotato-suffered-a-major-account-data-breach-in-2007/,data/2016-09-29T00:09:48Z,Breach:,Robert-Topper,2016-09-29T00_09_48Z,,2016-09-07T17_24_35Z,,2017-06-30T04_38_50Z,,2017-06-26T23_47_11Z,,2017-06-12T03_13_58Z,,2016-04-16T22_41_01Z,,2017-06-20T21_15_37Z,,2017-06-13T22_25_01Z,,2014-09-19T05_20_29Z,,2016-06-07T23_13_35Z,,2014-12-12T15_36_04Z,,2016-01-29T20_04_24Z,,2017-06-21T22_16_54Z,,2014-06-19T23_14_54Z,,2017-03-09T23_36_20Z
https://www.databreaches.net/credit-card-information-stolen-from-abilene-taco-shop/,data/2016-09-08T21:04:01Z,Breach:,Robert-Topper,2016-09-08T21_04_01Z,,2016-09-06T16_55_30Z,,2017-06-30T04_36_26Z,,2017-06-23T22_52_05Z,,2017-06-10T04_22_20Z,,2016-02-26T05_25_54Z,,2017-06-20T21_15_16Z,,2017-06-12T03_54_22Z,,2014-09-12T14_45_52Z,,2016-05-12T03_43_20Z,,2014-11-20T16_58_49Z,,2016-01-26T16_01_54Z,,2017-06-18T06_49_57Z,,2014-06-19T23_14_54Z,,2017-03-08T17_03_02Z
https://www.databreaches.net/mat-su-campus-hit-by-data-breach-more-than-5000-affected/,data/2016-09-07T17:24:35Z,Breach:,Robert-Topper,2016-09-07T17_24_35Z,,2016-07-22T22_12_20Z,,2017-06-20T20_55_49Z,,2017-06-18T06_55_34Z,,2017-06-09T21_28_11Z,,2015-12-03T20_59_31Z,,2017-06-20T21_13_28Z,,2017-06-12T03_01_51Z,,2014-09-11T17_54_03Z,,2016-05-08T21_55_51Z,,2014-11-14T15_32_18Z,,2016-01-19T22_48_44Z,,2017-06-18T06_49_30Z,,2014-06-19T23_14_54Z,,2017-03-07T21_01_37Z
http://www.theage.com.au/afl/afl-news/afl-national-womens-league-carlton-unhappy-with-leak-20160904-gr8j1u.html,data/2016-09-06T16:55:30Z,Breach:,dhylender,2016-09-06T16_55_30Z,,2016-07-20T23_21_12Z,,2017-06-20T20_27_50Z,,2017-06-18T06_53_35Z,,2017-06-08T22_25_46Z,,2015-11-17T05_58_39Z,,2017-06-19T19_29_48Z,,2017-06-10T04_20_16Z,,2014-09-11T17_53_47Z,,2016-04-29T23_26_26Z,,2014-11-14T15_22_25Z,,2016-01-17T23_04_04Z,,2017-06-17T03_33_50Z,,2014-06-19T23_14_53Z,,2017-03-07T02_56_13Z
http://therealdeal.com/2016/07/21/wework-battling-another-data-leak/,data/2016-07-22T22:12:20Z,Breach:,ama0990,2016-07-22T22_12_20Z,,2016-07-15T22_37_13Z,,2017-06-20T05_37_44Z,,2017-06-16T23_44_19Z,,2017-06-08T20_14_32Z,,2015-10-05T16_36_37Z,,2017-06-18T00_18_08Z,,2017-06-08T21_41_12Z,,2014-09-11T17_53_25Z,,2016-02-19T21_36_01Z,,2014-11-14T15_21_04Z,,2016-01-16T01_34_33Z,,2017-06-14T17_57_34Z,,2014-06-19T23_14_53Z,,2017-03-06T22_44_20Z
http://www.cbc.ca/news/politics/privacy-phoenix-judy-foote-missing-paycheques-breach-1.3685866,data/2016-07-20T23:21:12Z,Breach:,ama0990,2016-07-20T23_21_12Z,,2016-07-11T23_01_29Z,,2017-06-19T18_05_49Z,,2017-06-16T17_49_31Z,,2017-06-05T18_54_33Z,,2015-09-09T16_46_51Z,,2017-06-12T04_05_12Z,,2017-06-08T20_13_27Z,,2014-07-25T15_03_04Z,,2016-02-15T19_42_10Z,,2014-10-27T20_40_21Z,,2016-01-04T16_04_49Z,,2017-06-14T17_52_01Z,,2014-06-19T23_14_52Z,,2017-03-06T22_37_48Z
http://greenatom.earth/news/athomenet_violates_computer_fraud_and_abuse_act_final_judgment_by/,data/2016-07-15T22:37:13Z,Breach:,swidup,2016-07-15T22_37_13Z,,2016-06-21T23_33_02Z,,2017-06-18T06_59_46Z,,2017-06-13T00_12_57Z,,2017-06-05T18_37_57Z,,2015-06-10T17_35_51Z,,2017-06-01T03_57_32Z,,2017-06-08T17_57_55Z,,2014-07-17T00_13_51Z,,2016-02-09T17_29_05Z,,2014-10-17T14_55_20Z,,2016-01-02T23_38_57Z,,2017-06-10T04_42_06Z,,2014-06-19T23_14_51Z,,2017-03-06T22_36_18Z
